Target frequency/ kHz,Frequency/ kHz,Frequency std/ Hz,V_Cpp/ V,V_Cpp std/ uV,phase/ °,phase std/ °
8,8.0008,5.2392,0.11177,774,5.01,0.79
9,8.98086,5.7912,0.12304,638.45,5.95,0.54
10,9.96864,9.24312,0.13546,595.53,6.06,0.67
11,10.9998,1.4883,0.14229,75.732,5.03,0.16
12,12.0002,1.73349,0.16625,75.35,6.29,0.1
13,12.9995,1.8834,0.20326,74.262,8.24,0.1
13.5,13.5003,0.97905,0.23129,88.309,9.66,0.08
14,14.0004,1.2824,0.26953,77.712,11.57,0.1
14.5,14.4997,1.44007,0.32527,67.443,14.34,0.07
15,15.0004,1.24668,0.41217,74.569,18.86,0.08
15.5,15.5,1.48865,0.56939,176.64,26.88,0.08
16,16,1.5974,0.84663,122.3,46.28,0.07
16.1,16.1003,1.3671,0.91934,169.96,52.84,0.1
16.2,16.2003,1.54077,0.98798,267.02,60.51,0.13
16.3,16.3002,1.61448,1.0494,352.41,69.65,0.12
16.4,16.3998,1.33166,1.0892,270.25,79.94,0.09
16.5,16.5006,1.38534,1.1005,319.86,90.62,0.12
16.6,16.6003,1.3354,1.0802,218.17,101.09,0.09
16.7,16.6997,1.4696,1.0346,312.79,110.83,0.11
16.8,16.8002,1.08031,0.97269,336.91,119.38,0.09
16.9,16.8999,1.72477,0.90297,286.8,126.69,0.1
17,17.0001,2.01296,0.83427,433.18,132.92,0.13
17.5,17.4996,1.56696,0.5527,230.31,152.13,0.13
18,17.9998,1.14152,0.39115,211.17,161.2,0.13
18.5,18.4994,1.54182,0.29606,327.18,166.25,0.19
19,19.0003,1.66628,0.23532,466.08,169.3,0.19
19.5,19.5003,1.34044,0.19425,412.44,171.52,0.23
20,19.9998,1.506,0.16422,285.08,173.31,0.19
21,21.0004,1.235,0.12444,274.11,175.45,0.24
22,22.0006,1.74232,0.099106,220.48,177.24,0.44
23,23.0012,1.1475,0.081731,331.63,180,180
24,23.9998,1.08612,0.069149,290.78,180,180
25,24.9996,1.5216,0.057308,144.33,180,180
