Target frequency/ kHz,Frequency/ kHz,Frequency std/ Hz,V_Cpp/ V,V_Cpp std/ uV,phase/ °,phase std/ °
8,8.00037,1.6842,0.29527,127.86,2.14,0.11
9,8.99976,0.826343,0.32094,159.01,3.29,0.1
10,9.99997,1.02372,0.3547,152.2,3.84,0.09
11,10.9998,1.24905,0.40136,163.96,4.69,0.08
12,12,1.3413,0.47079,137.26,6.02,0.06
13,12.9998,1.7634,0.57956,186.68,8.04,0.07
13.5,13.5,0.94995,0.65947,207.52,9.58,0.09
14,14.0002,1.15568,0.76876,129.96,11.67,0.09
14.5,14.4997,1.14053,0.91911,308.57,14.91,0.08
15,15,1.10736,1.1553,347.57,20.24,0.08
15.5,15.4995,1.41531,1.5355,310.01,30.32,0.07
16,16.0001,0.7122,1.9718,785.66,55.25,0.06
16.1,16.0998,1.77156,2.1906,705.7,59.94,0.1
16.2,16.2004,1.58844,2.2772,483.22,67.84,0.12
16.3,16.2999,1.80264,2.3361,652.21,76.68,0.09
16.4,16.4001,2.18614,2.3586,602.92,86.03,0.11
16.5,16.4999,1.77408,2.3413,612.73,95.48,0.08
16.6,16.5999,1.6401,2.2896,597.08,104.51,0.08
16.7,16.7001,1.47994,2.2087,467.08,112.68,0.1
16.8,16.8004,1.3685,2.1102,574.99,119.98,0.12
16.9,16.8999,1.15345,2.002,526.83,126.4,0.12
17,16.9998,1.63737,1.8906,797.1,131.83,0.08
17.5,17.4998,1.33488,1.3882,928.96,149.31,0.12
18,18,1.13962,1.0408,673.9,158.14,0.12
18.5,18.4999,1.01451,0.81532,669.67,163.36,0.16
19,18.9997,1.4971,0.65995,519.44,166.67,0.12
19.5,19.5003,1.54721,0.55171,931.16,168.89,0.19
20,20.0003,0.8064,0.47024,113.68,170.55,0.06
21,21,0.90948,0.35936,148.19,172.89,0.08
22,21.9998,0.64492,0.28657,101.94,174.07,0.09
23,23.0001,0.7765,0.23667,135.34,175.26,0.14
24,24.0005,0.82572,0.20014,144.9,176.07,0.13
25,24.9999,0.6129,0.17163,226.32,176.83,0.17
