f/ Hz,Re(V)/ V,Im(V)/ V
8.00E+03,5.39996384799034e-02,-2.33453712901591e-03
8.02E+03,5.40864421465685e-02,-2.34698517329049e-03
8.03E+03,5.41737088073005e-02,-2.35951722585546e-03
8.05E+03,5.42614415737866e-02,-2.37213408639898e-03
8.07E+03,5.43496435870443e-02,-2.38483656398764e-03
8.09E+03,5.44383180177603e-02,-2.39762547719940e-03
8.10E+03,5.45274680666350e-02,-2.41050165425857e-03
8.12E+03,5.46170969647310e-02,-2.42346593317311e-03
8.14E+03,5.47072079738266e-02,-2.43651916187420e-03
8.15E+03,5.47978043867747e-02,-2.44966219835815e-03
8.17E+03,5.48888895278663e-02,-2.46289591083058e-03
8.19E+03,5.49804667531990e-02,-2.47622117785318e-03
8.20E+03,5.50725394510517e-02,-2.48963888849275e-03
8.22E+03,5.51651110422629e-02,-2.50314994247287e-03
8.24E+03,5.52581849806160e-02,-2.51675525032806e-03
8.26E+03,5.53517647532293e-02,-2.53045573356060e-03
8.27E+03,5.54458538809514e-02,-2.54425232479991e-03
8.29E+03,5.55404559187626e-02,-2.55814596796472e-03
8.31E+03,5.56355744561820e-02,-2.57213761842797e-03
8.32E+03,5.57312131176803e-02,-2.58622824318450e-03
8.34E+03,5.58273755630986e-02,-2.60041882102164e-03
8.36E+03,5.59240654880733e-02,-2.61471034269266e-03
8.37E+03,5.60212866244669e-02,-2.62910381109328e-03
8.39E+03,5.61190427408054e-02,-2.64360024144120e-03
8.41E+03,5.62173376427214e-02,-2.65820066145859e-03
8.43E+03,5.63161751734049e-02,-2.67290611155800e-03
8.44E+03,5.64155592140589e-02,-2.68771764503123e-03
8.46E+03,5.65154936843634e-02,-2.70263632824164e-03
8.48E+03,5.66159825429446e-02,-2.71766324081974e-03
8.49E+03,5.67170297878525e-02,-2.73279947586227e-03
8.51E+03,5.68186394570443e-02,-2.74804614013464e-03
8.53E+03,5.69208156288757e-02,-2.76340435427706e-03
8.54E+03,5.70235624225991e-02,-2.77887525301422e-03
8.56E+03,5.71268839988690e-02,-2.79445998536864e-03
8.58E+03,5.72307845602555e-02,-2.81015971487791e-03
